architecture,condition,fault_type,task_id,seed,official_success,evaluator_status,steps,llm_calls,time_sec,agent_response,network_har,official_eval
react,control,control,132,1,False,failure,4.0,4.0,151.5,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task132_seed1/132/control_seed_0/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task132_seed1/132/control_seed_0/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task132_seed1/132/control_seed_0/official_eval.json
react,control,control,132,2,True,success,7.0,7.0,91.1,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task132_seed2/132/control_seed_0/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task132_seed2/132/control_seed_0/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task132_seed2/132/control_seed_0/official_eval.json
react,control,control,132,3,False,failure,4.0,4.0,42.8,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task132_seed3/132/control_seed_0/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task132_seed3/132/control_seed_0/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task132_seed3/132/control_seed_0/official_eval.json
react,fault,web_dom_missing,27,1,True,success,5.0,5.0,84.6,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task27_seed1/27/web_dom_missing_seed_1/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task27_seed1/27/web_dom_missing_seed_1/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task27_seed1/27/web_dom_missing_seed_1/official_eval.json
react,fault,web_dom_missing,27,2,True,success,5.0,5.0,84.3,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task27_seed2/27/web_dom_missing_seed_2/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task27_seed2/27/web_dom_missing_seed_2/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task27_seed2/27/web_dom_missing_seed_2/official_eval.json
react,fault,web_dom_missing,27,3,True,success,5.0,5.0,29.9,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task27_seed3/27/web_dom_missing_seed_3/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task27_seed3/27/web_dom_missing_seed_3/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task27_seed3/27/web_dom_missing_seed_3/official_eval.json
react,fault,web_dom_missing,30,1,False,failure,5.0,5.0,90.6,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task30_seed1/30/web_dom_missing_seed_1/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task30_seed1/30/web_dom_missing_seed_1/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task30_seed1/30/web_dom_missing_seed_1/official_eval.json
react,fault,web_dom_missing,30,2,False,failure,5.0,5.0,74.8,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task30_seed2/30/web_dom_missing_seed_2/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task30_seed2/30/web_dom_missing_seed_2/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task30_seed2/30/web_dom_missing_seed_2/official_eval.json
react,fault,web_dom_missing,30,3,False,failure,5.0,5.0,54.1,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task30_seed3/30/web_dom_missing_seed_3/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task30_seed3/30/web_dom_missing_seed_3/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task30_seed3/30/web_dom_missing_seed_3/official_eval.json
react,fault,web_dom_missing,132,1,False,failure,4.0,4.0,181.0,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task132_seed1/132/web_dom_missing_seed_1/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task132_seed1/132/web_dom_missing_seed_1/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task132_seed1/132/web_dom_missing_seed_1/official_eval.json
react,fault,web_dom_missing,132,2,True,success,6.0,6.0,90.2,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task132_seed2/132/web_dom_missing_seed_2/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task132_seed2/132/web_dom_missing_seed_2/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task132_seed2/132/web_dom_missing_seed_2/official_eval.json
react,fault,web_dom_missing,132,3,False,failure,4.0,4.0,53.7,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task132_seed3/132/web_dom_missing_seed_3/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task132_seed3/132/web_dom_missing_seed_3/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_dom_missing_task132_seed3/132/web_dom_missing_seed_3/official_eval.json
react,fault,web_http_error,27,1,True,success,7.0,7.0,109.9,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task27_seed1/27/web_http_error_seed_1/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task27_seed1/27/web_http_error_seed_1/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task27_seed1/27/web_http_error_seed_1/official_eval.json
react,fault,web_http_error,27,2,True,success,7.0,7.0,101.8,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task27_seed2/27/web_http_error_seed_2/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task27_seed2/27/web_http_error_seed_2/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task27_seed2/27/web_http_error_seed_2/official_eval.json
react,fault,web_http_error,27,3,True,success,6.0,6.0,33.2,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task27_seed3/27/web_http_error_seed_3/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task27_seed3/27/web_http_error_seed_3/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task27_seed3/27/web_http_error_seed_3/official_eval.json
react,fault,web_http_error,30,1,False,failure,6.0,6.0,82.9,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task30_seed1/30/web_http_error_seed_1/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task30_seed1/30/web_http_error_seed_1/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task30_seed1/30/web_http_error_seed_1/official_eval.json
react,fault,web_http_error,30,2,False,failure,6.0,6.0,72.4,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task30_seed2/30/web_http_error_seed_2/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task30_seed2/30/web_http_error_seed_2/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task30_seed2/30/web_http_error_seed_2/official_eval.json
react,fault,web_http_error,30,3,False,failure,6.0,6.0,39.0,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task30_seed3/30/web_http_error_seed_3/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task30_seed3/30/web_http_error_seed_3/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task30_seed3/30/web_http_error_seed_3/official_eval.json
react,fault,web_http_error,132,1,False,failure,6.0,6.0,163.5,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task132_seed1/132/web_http_error_seed_1/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task132_seed1/132/web_http_error_seed_1/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task132_seed1/132/web_http_error_seed_1/official_eval.json
react,fault,web_http_error,132,2,False,failure,8.0,8.0,362.6,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task132_seed2/132/web_http_error_seed_2/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task132_seed2/132/web_http_error_seed_2/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task132_seed2/132/web_http_error_seed_2/official_eval.json
react,fault,web_http_error,132,3,False,failure,20.0,20.0,1005.0,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task132_seed3/132/web_http_error_seed_3/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task132_seed3/132/web_http_error_seed_3/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_fault_web_http_error_task132_seed3/132/web_http_error_seed_3/official_eval.json
