architecture,condition,fault_type,task_id,seed,official_success,evaluator_status,evaluator_error,agent_response,network_har,official_eval,source,rerun,source_count,source_chain,model
plan_execute,control,control,132,1,True,success,,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task132_seed1/132/control_seed_0/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task132_seed1/132/control_seed_0/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task132_seed1/132/control_seed_0/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,control,control,132,2,True,success,,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task132_seed2/132/control_seed_0/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task132_seed2/132/control_seed_0/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task132_seed2/132/control_seed_0/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,control,control,132,3,False,failure,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_control_control_task132_seed3/132/control_seed_3/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_control_control_task132_seed3/132/control_seed_3/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_control_control_task132_seed3/132/control_seed_3/official_eval.json,/,False,2,/,gpt54
plan_execute,control,control,132,4,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task132_seed4/132/control_seed_0/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task132_seed4/132/control_seed_0/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task132_seed4/132/control_seed_0/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,control,control,132,5,False,failure,,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_control_control_task132_seed5/132/control_seed_0/agent_response.json,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_control_control_task132_seed5/132/control_seed_0/network.har,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_control_control_task132_seed5/132/control_seed_0/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_dom_missing,27,1,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed1/27/web_dom_missing_seed_1/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed1/27/web_dom_missing_seed_1/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed1/27/web_dom_missing_seed_1/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_dom_missing,27,2,True,success,,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed2/27/web_dom_missing_seed_2/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed2/27/web_dom_missing_seed_2/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed2/27/web_dom_missing_seed_2/official_eval.json,rerun_missing_trials_v1,True,2,/;rerun_missing_trials_v1,gpt54
plan_execute,fault,web_dom_missing,27,3,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed3/27/web_dom_missing_seed_3/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed3/27/web_dom_missing_seed_3/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed3/27/web_dom_missing_seed_3/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_dom_missing,27,4,True,success,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_fault_web_dom_missing_task27_seed4/27/fault_seed_4/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_fault_web_dom_missing_task27_seed4/27/fault_seed_4/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_fault_web_dom_missing_task27_seed4/27/fault_seed_4/official_eval.json,/,False,1,/,gpt54
plan_execute,fault,web_dom_missing,27,5,False,failure,,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed5/27/web_dom_missing_seed_5/agent_response.json,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed5/27/web_dom_missing_seed_5/network.har,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed5/27/web_dom_missing_seed_5/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_dom_missing,30,1,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed1/30/web_dom_missing_seed_1/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed1/30/web_dom_missing_seed_1/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed1/30/web_dom_missing_seed_1/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_dom_missing,30,2,True,success,,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed2/30/web_dom_missing_seed_2/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed2/30/web_dom_missing_seed_2/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed2/30/web_dom_missing_seed_2/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_dom_missing,30,3,False,failure,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_fault_web_dom_missing_task30_seed3/30/fault_seed_3/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_fault_web_dom_missing_task30_seed3/30/fault_seed_3/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_fault_web_dom_missing_task30_seed3/30/fault_seed_3/official_eval.json,/,False,1,/,gpt54
plan_execute,fault,web_dom_missing,30,4,False,failure,,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed4/30/web_dom_missing_seed_4/agent_response.json,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed4/30/web_dom_missing_seed_4/network.har,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed4/30/web_dom_missing_seed_4/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_dom_missing,30,5,True,success,,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed5/30/web_dom_missing_seed_5/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed5/30/web_dom_missing_seed_5/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed5/30/web_dom_missing_seed_5/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_dom_missing,132,1,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task132_seed1/132/web_dom_missing_seed_1/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task132_seed1/132/web_dom_missing_seed_1/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task132_seed1/132/web_dom_missing_seed_1/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_dom_missing,132,2,False,failure,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_fault_web_dom_missing_task132_seed2/132/fault_seed_2/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_fault_web_dom_missing_task132_seed2/132/fault_seed_2/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_fault_web_dom_missing_task132_seed2/132/fault_seed_2/official_eval.json,/,False,1,/,gpt54
plan_execute,fault,web_dom_missing,132,3,False,failure,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_fault_web_dom_missing_task132_seed3/132/fault_seed_3/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_fault_web_dom_missing_task132_seed3/132/fault_seed_3/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_fault_web_dom_missing_task132_seed3/132/fault_seed_3/official_eval.json,/,False,1,/,gpt54
plan_execute,fault,web_dom_missing,132,4,True,success,,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task132_seed4/132/web_dom_missing_seed_4/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task132_seed4/132/web_dom_missing_seed_4/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task132_seed4/132/web_dom_missing_seed_4/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_dom_missing,132,5,True,success,,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task132_seed5/132/web_dom_missing_seed_5/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task132_seed5/132/web_dom_missing_seed_5/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_dom_missing_task132_seed5/132/web_dom_missing_seed_5/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_http_error,27,1,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task27_seed1/27/web_http_error_seed_1/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task27_seed1/27/web_http_error_seed_1/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task27_seed1/27/web_http_error_seed_1/official_eval.json,rerun_missing_trials_v1,True,2,/;rerun_missing_trials_v1,gpt54
plan_execute,fault,web_http_error,27,2,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task27_seed2/27/web_http_error_seed_2/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task27_seed2/27/web_http_error_seed_2/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task27_seed2/27/web_http_error_seed_2/official_eval.json,rerun_missing_trials_v1,True,2,/;rerun_missing_trials_v1,gpt54
plan_execute,fault,web_http_error,27,3,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task27_seed3/27/web_http_error_seed_3/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task27_seed3/27/web_http_error_seed_3/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task27_seed3/27/web_http_error_seed_3/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_http_error,27,4,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task27_seed4/27/web_http_error_seed_4/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task27_seed4/27/web_http_error_seed_4/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task27_seed4/27/web_http_error_seed_4/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_http_error,27,5,True,success,,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_fault_web_http_error_task27_seed5/27/web_http_error_seed_5/agent_response.json,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_fault_web_http_error_task27_seed5/27/web_http_error_seed_5/network.har,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_fault_web_http_error_task27_seed5/27/web_http_error_seed_5/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_http_error,30,1,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task30_seed1/30/web_http_error_seed_1/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task30_seed1/30/web_http_error_seed_1/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task30_seed1/30/web_http_error_seed_1/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_http_error,30,2,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task30_seed2/30/web_http_error_seed_2/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task30_seed2/30/web_http_error_seed_2/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task30_seed2/30/web_http_error_seed_2/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_http_error,30,3,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task30_seed3/30/web_http_error_seed_3/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task30_seed3/30/web_http_error_seed_3/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_fault_web_http_error_task30_seed3/30/web_http_error_seed_3/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_http_error,30,4,True,success,,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_fault_web_http_error_task30_seed4/30/web_http_error_seed_4/agent_response.json,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_fault_web_http_error_task30_seed4/30/web_http_error_seed_4/network.har,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_fault_web_http_error_task30_seed4/30/web_http_error_seed_4/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_http_error,30,5,True,success,,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_fault_web_http_error_task30_seed5/30/web_http_error_seed_5/agent_response.json,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_fault_web_http_error_task30_seed5/30/web_http_error_seed_5/network.har,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_fault_web_http_error_task30_seed5/30/web_http_error_seed_5/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_http_error,132,1,False,failure,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_fault_web_http_error_task132_seed1/132/fault_seed_1/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_fault_web_http_error_task132_seed1/132/fault_seed_1/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_fault_web_http_error_task132_seed1/132/fault_seed_1/official_eval.json,/,False,2,/,gpt54
plan_execute,fault,web_http_error,132,2,False,failure,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_fault_web_http_error_task132_seed2/132/fault_seed_2/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_fault_web_http_error_task132_seed2/132/fault_seed_2/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_fault_web_http_error_task132_seed2/132/fault_seed_2/official_eval.json,/,False,1,/,gpt54
plan_execute,fault,web_http_error,132,3,False,failure,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_fault_web_http_error_task132_seed3/132/fault_seed_3/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_fault_web_http_error_task132_seed3/132/fault_seed_3/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/plan_execute_fault_web_http_error_task132_seed3/132/fault_seed_3/official_eval.json,/,False,1,/,gpt54
plan_execute,fault,web_http_error,132,4,True,success,,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_fault_web_http_error_task132_seed4/132/web_http_error_seed_4/agent_response.json,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_fault_web_http_error_task132_seed4/132/web_http_error_seed_4/network.har,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_fault_web_http_error_task132_seed4/132/web_http_error_seed_4/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,fault,web_http_error,132,5,False,failure,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_fault_web_http_error_task132_seed5/132/fault_seed_5/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_fault_web_http_error_task132_seed5/132/fault_seed_5/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_fault_web_http_error_task132_seed5/132/fault_seed_5/official_eval.json,/,False,1,/,gpt54
react,control,control,27,1,True,success,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task27_seed1/27/control_seed_1/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task27_seed1/27/control_seed_1/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task27_seed1/27/control_seed_1/official_eval.json,/,False,7,/,gpt54
react,control,control,27,2,True,success,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task27_seed2/27/control_seed_2/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task27_seed2/27/control_seed_2/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task27_seed2/27/control_seed_2/official_eval.json,/,False,6,/,gpt54
react,control,control,27,3,True,success,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task27_seed3/27/control_seed_3/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task27_seed3/27/control_seed_3/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task27_seed3/27/control_seed_3/official_eval.json,/,False,7,/,gpt54
react,control,control,27,4,True,success,,experiments/analysis/rebuilt_official_responses_v1/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/agent_param_error_task27_seed4/27/control_seed_4/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/agent_param_error_task27_seed4/27/control_seed_4/network.har,experiments/analysis/rebuilt_official_responses_v1/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/agent_param_error_task27_seed4/27/control_seed_4/official_eval.json,/,False,6,/,gpt54
react,control,control,27,5,True,success,,experiments/analysis/rebuilt_official_responses_v1/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/web_popup_block_task27_seed5/27/control_seed_5/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/web_popup_block_task27_seed5/27/control_seed_5/network.har,experiments/analysis/rebuilt_official_responses_v1/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/web_popup_block_task27_seed5/27/control_seed_5/official_eval.json,/,False,6,/,gpt54
react,control,control,30,1,False,failure,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task30_seed1/30/control_seed_1/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task30_seed1/30/control_seed_1/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task30_seed1/30/control_seed_1/official_eval.json,/,False,7,/,gpt54
react,control,control,30,2,False,failure,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task30_seed2/30/control_seed_2/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task30_seed2/30/control_seed_2/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task30_seed2/30/control_seed_2/official_eval.json,/,False,7,/,gpt54
react,control,control,30,3,False,failure,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task30_seed3/30/control_seed_3/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task30_seed3/30/control_seed_3/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task30_seed3/30/control_seed_3/official_eval.json,/,False,7,/,gpt54
react,control,control,30,4,True,success,,experiments/rerun_missing_trials_v1/outputs/react_control_control_task30_seed4/30/control_seed_0/agent_response.json,experiments/rerun_missing_trials_v1/outputs/react_control_control_task30_seed4/30/control_seed_0/network.har,experiments/rerun_missing_trials_v1/outputs/react_control_control_task30_seed4/30/control_seed_0/official_eval.json,rerun_missing_trials_v1,True,6,/;rerun_missing_trials_v1,gpt54
react,control,control,30,5,True,success,,experiments/analysis/rebuilt_official_responses_v1/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/web_http_error_task30_seed5/30/control_seed_5/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/web_http_error_task30_seed5/30/control_seed_5/network.har,experiments/analysis/rebuilt_official_responses_v1/formal_gpt54_react_faults_official_subset_v1_missing60_rerun/web_http_error_task30_seed5/30/control_seed_5/official_eval.json,/,False,6,/,gpt54
react,control,control,132,1,False,failure,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task132_seed1/132/control_seed_1/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task132_seed1/132/control_seed_1/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_v1/react_control_control_task132_seed1/132/control_seed_1/official_eval.json,/,False,7,/,gpt54
